gender,education,age,ACT,SATV,SATQ
1,4,30,21,500,450
2,2,24,28,720,450
2,5,40,29,600,600
2,5,27,32,790,750
2,4,41,30,650,650
2,1,17,18,440,300
2,3,19,32,700,700
1,3,21,32,670,750
2,1,18,27,680,540
1,3,19,17,300,300
2,4,24,28,600,600
2,3,18,21,490,480
2,3,20,30,650,650
2,4,44,25,640,420
2,3,20,32,720,730
2,0,17,35,720,790
1,5,26,32,740,620
2,3,18,16,430,350
2,3,25,27,500,500
2,1,18,27,700,650
2,3,21,20,300,300
1,2,19,31,680,700
1,5,44,30,550,660
1,0,16,24,540,540
2,0,17,26,590,520
1,4,34,19,590,742
2,5,37,24,500,400
2,3,21,27,580,500
1,5,39,35,600,800
2,3,19,27,600,570
2,3,22,32,700,690
2,1,37,26,412,680
2,3,19,25,650,500
2,3,18,29,670,640
2,5,44,36,480,700
1,0,14,30,600,600
1,4,52,25,700,650
2,3,21,22,530,520
2,3,20,27,540,540
2,3,20,23,657,609
1,3,18,34,700,800
2,5,28,31,730,690
1,0,17,33,700,780
2,3,20,31,780,640
2,2,25,26,500,580
2,2,57,35,650,750
1,3,29,33,590,770
2,3,21,29,620,680
2,4,26,28,800,500
2,3,20,27,600,NA
2,3,23,27,400,450
2,5,24,31,670,680
2,3,19,31,630,600
2,3,19,32,640,660
2,3,20,22,560,450
2,1,17,35,350,230
2,3,19,25,530,570
1,3,20,25,560,580
2,3,18,23,550,600
2,3,22,26,450,500
2,3,20,27,590,530
2,3,20,27,650,NA
2,3,20,34,730,710
1,5,24,30,500,500
2,3,21,32,690,730
2,5,38,26,600,450
1,3,20,25,570,550
2,5,28,29,410,760
1,3,20,22,600,450
1,3,22,28,700,740
1,3,17,35,740,770
2,4,22,24,690,690
2,4,31,27,400,540
2,3,21,32,790,650
2,3,27,17,300,300
2,3,19,18,420,440
1,3,19,20,510,420
2,5,50,35,700,640
2,4,22,32,750,690
1,4,25,24,600,400
1,2,33,32,700,710
2,5,29,29,650,500
2,0,17,28,600,650
1,5,31,27,475,475
2,1,17,27,610,730
2,5,37,20,500,490
2,3,18,22,520,630
2,3,32,33,650,635
2,5,25,30,670,550
1,3,20,34,770,780
2,4,48,28,600,450
2,4,49,32,600,600
2,3,22,30,450,350
2,2,28,23,540,520
2,5,33,34,760,670
2,4,22,26,700,450
2,5,29,32,600,500
1,3,25,22,550,550
2,3,17,29,550,620
2,2,18,23,450,550
2,3,19,35,700,600
1,5,30,32,660,740
2,3,19,31,650,620
1,1,18,27,740,670
1,1,18,29,670,NA
1,3,19,29,730,560
1,1,18,33,720,710
2,3,20,35,600,700
2,2,19,21,400,480
2,0,16,24,800,800
2,5,28,29,410,760
2,3,22,30,650,650
2,3,19,30,550,550
2,4,29,32,600,720
2,3,19,28,650,650
2,3,18,28,700,700
2,3,21,25,580,660
2,3,18,28,700,700
1,5,55,33,730,710
2,3,19,32,500,650
1,2,20,20,400,400
2,3,19,21,500,420
2,3,19,28,600,770
2,3,19,35,500,600
1,2,19,26,690,490
1,2,22,3,200,400
2,3,20,21,510,510
1,3,20,21,450,550
2,5,34,32,640,480
2,3,18,31,610,670
1,3,25,27,620,500
2,3,33,35,760,750
1,5,43,32,730,780
1,2,25,24,620,670
2,5,34,34,640,640
1,2,20,32,710,710
2,3,18,31,800,750
1,3,19,36,600,650
2,3,20,23,600,300
2,2,19,28,650,700
1,3,19,35,730,720
2,3,18,22,540,600
2,3,20,26,600,600
1,3,19,29,620,590
2,5,36,29,650,650
2,3,19,21,600,500
1,4,24,31,750,650
2,3,19,36,530,680
1,2,20,25,400,400
2,5,27,27,600,480
1,3,20,17,480,400
2,2,27,32,750,750
1,3,19,32,500,700
1,3,19,22,540,590
2,1,18,26,689,654
2,4,21,30,630,630
2,3,44,25,600,600
2,3,44,25,600,600
2,3,19,34,500,600
1,3,22,24,410,680
1,2,25,20,450,450
1,5,22,32,650,620
2,2,28,25,610,590
2,0,18,21,550,440
2,0,17,22,350,450
1,0,17,35,797,720
2,3,20,20,470,470
2,3,20,23,500,600
1,1,18,23,500,700
2,5,24,29,690,640
2,3,19,21,500,500
1,0,17,28,420,530
1,1,18,35,750,640
2,1,18,34,799,799
1,0,17,36,800,800
1,1,23,15,600,600
1,3,18,34,700,800
2,5,23,28,600,600
2,0,18,24,510,550
2,0,18,23,570,600
2,0,17,22,350,450
2,5,27,32,790,750
2,0,18,21,490,560
2,1,18,35,500,NA
2,1,18,26,620,590
2,0,18,15,470,500
2,4,25,32,630,730
2,1,18,28,550,600
2,1,17,28,560,430
1,0,18,25,480,480
1,3,20,30,300,400
2,0,18,28,700,500
1,0,18,20,400,400
2,0,17,22,444,333
1,0,16,20,450,450
2,0,17,18,460,460
1,0,15,32,650,450
1,5,42,35,750,700
1,2,31,30,640,750
1,1,18,25,500,765
2,0,18,26,530,NA
2,0,17,21,500,500
2,5,25,24,560,610
2,3,18,16,500,450
1,3,19,30,450,450
2,5,38,28,700,500
2,4,34,34,600,600
1,5,28,35,600,600
2,5,23,25,530,NA
1,4,26,34,600,600
1,2,19,27,550,670
2,3,19,31,760,620
1,3,19,27,680,660
2,5,56,34,730,700
2,3,20,31,770,600
2,3,20,27,580,620
1,3,20,27,630,680
1,0,16,36,765,677
2,3,20,30,650,640
1,1,17,15,600,596
2,5,43,23,620,660
2,3,20,26,530,530
2,0,17,35,710,710
2,5,27,33,660,780
2,4,22,34,710,710
2,5,41,35,660,650
2,3,19,27,620,590
1,5,24,31,680,680
1,3,22,33,800,700
2,4,22,29,750,600
2,3,23,21,650,500
2,4,31,19,419,420
2,1,18,25,410,410
1,1,18,30,600,650
2,3,19,21,500,550
2,3,20,23,550,440
2,3,20,32,720,600
2,3,23,21,650,500
1,2,20,25,500,300
2,5,23,27,580,530
2,4,25,29,530,600
2,2,24,20,400,400
1,5,27,32,720,730
1,4,37,28,600,610
2,1,31,32,600,600
1,2,18,32,680,720
1,5,42,35,760,780
1,1,18,18,420,490
1,0,18,32,700,700
2,3,19,31,730,680
1,3,20,20,400,400
2,3,18,32,750,800
2,3,18,33,680,740
2,1,18,34,700,760
2,3,19,31,650,720
2,3,18,30,690,720
1,3,19,34,700,770
2,3,19,32,720,670
2,3,19,28,690,620
1,3,18,34,800,720
2,3,19,31,670,730
2,3,18,29,740,690
2,3,19,34,760,720
2,5,22,32,650,710
1,3,19,31,640,700
1,3,20,32,700,680
2,3,18,32,680,NA
1,3,18,27,600,600
1,3,19,33,710,740
1,3,19,30,700,640
1,3,18,27,670,670
2,2,19,31,770,800
2,3,21,33,740,740
2,3,19,31,660,660
1,3,19,33,780,800
2,3,20,30,600,400
2,3,18,32,770,640
2,3,20,31,700,710
2,3,18,33,700,680
2,3,19,35,800,680
1,3,19,32,700,700
2,3,18,32,770,640
1,3,18,33,670,690
2,4,22,36,650,720
2,3,18,26,670,510
2,3,18,34,720,690
2,3,19,36,730,770
2,3,19,31,760,640
2,3,46,30,600,500
2,4,22,24,560,590
1,4,29,34,630,640
2,3,20,34,700,670
2,5,23,29,650,650
2,3,46,30,600,600
2,3,20,31,730,660
2,4,22,31,660,670
2,3,38,26,580,500
2,3,19,32,730,690
2,5,61,30,300,350
2,1,18,28,710,600
2,1,21,32,580,650
1,5,34,32,700,750
2,3,24,25,300,300
2,0,13,32,785,795
2,4,34,36,600,700
2,4,36,25,600,600
2,4,26,29,580,690
1,3,22,28,600,600
1,3,26,32,660,650
1,0,17,28,600,600
1,3,19,33,730,710
2,4,28,35,720,690
2,5,36,27,570,500
2,4,30,32,560,700
1,1,18,35,740,740
1,4,35,29,610,430
2,0,15,26,500,684
2,3,19,31,710,610
2,5,35,34,650,750
2,5,30,26,570,430
2,3,20,35,720,780
1,3,17,35,730,770
2,3,22,28,600,600
2,3,21,27,550,550
1,3,20,20,500,NA
1,3,19,31,670,760
1,5,58,34,675,680
1,3,23,22,460,400
2,4,26,35,650,800
1,3,22,22,670,720
1,3,22,22,700,700
2,4,26,35,650,800
1,3,19,34,720,800
2,5,25,32,650,750
1,5,24,31,770,670
2,3,19,25,550,530
2,5,24,32,600,750
2,3,20,31,740,620
2,5,37,29,500,500
1,5,43,32,400,500
2,5,42,27,760,530
2,3,21,27,610,NA
2,3,18,34,690,740
2,4,52,22,300,300
2,3,19,36,800,670
2,1,18,36,650,700
1,4,23,34,710,690
1,3,19,33,740,800
1,3,20,34,700,750
2,5,24,21,540,500
2,5,25,28,620,580
2,3,19,29,650,700
2,3,23,25,640,600
2,5,36,31,710,540
2,3,21,29,560,690
1,3,34,31,640,600
1,1,21,22,480,520
2,5,28,23,750,500
1,5,23,33,700,720
2,4,24,36,750,NA
1,0,18,30,500,600
2,4,46,30,650,700
2,4,28,36,590,620
1,4,25,32,690,790
2,3,19,33,740,700
2,5,30,28,450,550
2,4,23,31,600,600
2,4,29,32,650,410
1,3,19,34,760,710
1,5,54,33,400,600
2,3,20,36,760,760
1,3,23,30,490,490
2,3,28,30,600,600
2,4,29,27,610,500
2,3,19,33,640,680
2,4,28,32,650,600
1,5,26,33,750,690
1,5,34,25,600,610
2,2,25,26,700,700
2,3,25,27,640,660
2,3,20,26,710,680
1,3,25,30,500,500
1,4,40,27,613,630
2,3,24,31,700,630
1,4,35,32,700,780
1,5,25,25,600,600
